"wz11cd","lsoa11cd","msoa11cd","date","NS-SeC: All categories: NS-SeC; measures: Value","NS-SeC: 1. Higher managerial, administrative and professional occupations; measures: Value","NS-SeC: 1.1 Large employers and higher managerial and administrative occupations; measures: Value","NS-SeC: L1 Employers in large establishments; measures: Value","NS-SeC: L2 Higher managerial and administrative occupations; measures: Value","NS-SeC: 1.2 Higher professional occupations; measures: Value","NS-SeC: L3.1 Traditional employees; measures: Value","NS-SeC: L3.2 New employees; measures: Value","NS-SeC: L3.3 Traditional self-employed; measures: Value","NS-SeC: L3.4 New self-employed; measures: Value","NS-SeC: 2. Lower managerial, administrative and professional occupations; measures: Value","NS-SeC: L4 Lower professional and higher technical occupations; measures: Value","NS-SeC: L4.1 Traditional employees; measures: Value","NS-SeC: L4.2 New employees; measures: Value","NS-SeC: L4.3 Traditional self-employed; measures: Value","NS-SeC: L4.4 New self-employed; measures: Value","NS-SeC: L5 Lower managerial and administrative occupations; measures: Value","NS-SeC: L6 Higher supervisory occupations; measures: Value","NS-SeC: 3. Intermediate occupations; measures: Value","NS-SeC: L7.1 Intermediate clerical and administrative occupations; measures: Value","NS-SeC: L7.2 Intermediate sales and service occupations; measures: Value","NS-SeC: L7.3 Intermediate technical and auxiliary occupations; measures: Value","NS-SeC: L7.4 Intermediate engineering occupations; measures: Value","NS-SeC: 4. Small employers and own account workers; measures: Value","NS-SeC: L8 Employers in small establishments; measures: Value","NS-SeC: L8.1 Employers in small establishments in industry, commerce, services etc.; measures: Value","NS-SeC: L8.2 Employers in small establishments in agriculture; measures: Value","NS-SeC: L9 Own account workers; measures: Value","NS-SeC: L9.1 Own account workers (non-professional); measures: Value","NS-SeC: L9.2 Own account workers (agriculture); measures: Value","NS-SeC: 5. Lower supervisory and technical occupations; measures: Value","NS-SeC: L10 Lower supervisory occupations; measures: Value","NS-SeC: L11 Lower technical occupations; measures: Value","NS-SeC: L11.1 Lower technical craft occupations; measures: Value","NS-SeC: L11.2 Lower technical process operative occupations; measures: Value","NS-SeC: 6. Semi-routine occupations; measures: Value","NS-SeC: L12.1 Semi-routine sales occupations; measures: Value","NS-SeC: L12.2 Semi-routine service occupations; measures: Value","NS-SeC: L12.3 Semi-routine technical occupations; measures: Value","NS-SeC: L12.4 Semi-routine operative occupations; measures: Value","NS-SeC: L12.5 Semi-routine agricultural occupations; measures: Value","NS-SeC: L12.6 Semi-routine clerical occupations; measures: Value","NS-SeC: L12.7 Semi-routine childcare occupations; measures: Value","NS-SeC: 7. Routine occupations; measures: Value","NS-SeC: L13.1 Routine sales and service occupations; measures: Value","NS-SeC: L13.2 Routine production occupations; measures: Value","NS-SeC: L13.3 Routine technical occupations; measures: Value","NS-SeC: L13.4 Routine operative occupations; measures: Value","NS-SeC: L13.5 Routine agricultural occupations; measures: Value","NS-SeC: L15 Full-time students; measures: Value"
"E33020167","E01009479","E02001874",2011,541,39,8,0,8,31,15,11,3,2,131,89,80,3,5,1,14,28,148,81,65,2,0,61,9,9,0,52,52,0,22,18,4,4,0,79,43,27,0,4,0,3,2,40,8,2,8,22,0,21
"E33020167","E01009484","E02001874",2011,541,39,8,0,8,31,15,11,3,2,131,89,80,3,5,1,14,28,148,81,65,2,0,61,9,9,0,52,52,0,22,18,4,4,0,79,43,27,0,4,0,3,2,40,8,2,8,22,0,21
"E33020168","E01009347","E02001875",2011,239,24,6,0,6,18,6,4,6,2,56,39,23,9,3,4,13,4,22,15,5,2,0,26,13,13,0,13,13,0,17,4,13,13,0,40,9,13,8,1,0,9,0,45,1,0,18,26,0,9
"E33020169","E01033559","E02001875",2011,307,64,22,0,22,42,16,9,15,2,75,45,20,11,11,3,22,8,35,27,8,0,0,52,23,23,0,29,29,0,19,9,10,9,1,42,10,6,15,8,0,3,0,15,4,1,2,8,0,5
"E33020170","E01009347","E02001875",2011,493,30,12,0,12,18,11,7,0,0,106,64,57,6,1,0,18,24,72,20,20,1,31,12,3,3,0,9,9,0,32,20,12,12,0,141,74,29,14,16,1,5,2,68,13,2,29,24,0,32
"E33020171","E01033638","E02001875",2011,416,54,18,0,18,36,16,15,5,0,87,62,59,1,2,0,12,13,60,43,9,8,0,40,7,7,0,33,33,0,33,16,17,15,2,62,7,38,10,6,0,1,0,58,2,0,6,50,0,22
"E33020171","E01008906","E02001875",2011,416,54,18,0,18,36,16,15,5,0,87,62,59,1,2,0,12,13,60,43,9,8,0,40,7,7,0,33,33,0,33,16,17,15,2,62,7,38,10,6,0,1,0,58,2,0,6,50,0,22
"E33020172","E01033638","E02001875",2011,664,84,32,1,31,52,25,22,5,0,105,64,38,22,4,0,29,12,88,62,16,6,4,61,16,16,0,45,45,0,106,24,82,73,9,106,11,29,23,32,0,11,0,90,13,17,11,49,0,24
"E33020172","E01033559","E02001875",2011,664,84,32,1,31,52,25,22,5,0,105,64,38,22,4,0,29,12,88,62,16,6,4,61,16,16,0,45,45,0,106,24,82,73,9,106,11,29,23,32,0,11,0,90,13,17,11,49,0,24
"E33020172","E01008911","E02001875",2011,664,84,32,1,31,52,25,22,5,0,105,64,38,22,4,0,29,12,88,62,16,6,4,61,16,16,0,45,45,0,106,24,82,73,9,106,11,29,23,32,0,11,0,90,13,17,11,49,0,24
"E33020173","E01008913","E02001876",2011,225,16,7,0,7,9,3,5,1,0,77,54,48,3,3,0,20,3,29,18,10,1,0,18,9,9,0,9,9,0,9,8,1,1,0,54,7,36,4,1,2,2,2,14,1,1,3,9,0,8
"E33020174","E01008913","E02001876",2011,399,32,16,0,16,16,10,5,0,1,88,45,35,8,2,0,19,24,113,12,100,0,1,17,7,7,0,10,10,0,42,13,29,29,0,65,3,33,13,14,0,1,1,31,8,7,4,12,0,11
"E33020175","E01008914","E02001876",2011,466,53,20,0,20,33,15,17,1,0,103,53,44,6,1,2,34,16,77,32,30,10,5,33,14,13,1,19,19,0,87,25,62,59,3,57,11,12,9,18,0,1,6,44,3,7,16,18,0,12
"E33020176","E01008910","E02001876",2011,1790,494,41,0,41,453,88,351,8,6,651,541,322,204,8,7,51,59,264,100,137,6,21,67,19,19,0,48,48,0,71,31,40,40,0,88,10,43,15,7,1,11,1,124,19,8,41,55,1,31
"E33020177","E01033617","E02001876",2011,759,76,33,0,33,43,19,18,5,1,264,128,84,43,1,0,129,7,301,288,11,1,1,9,3,3,0,6,6,0,15,10,5,3,2,60,6,40,2,1,0,11,0,26,4,1,2,19,0,8
"E33020177","E01008914","E02001876",2011,759,76,33,0,33,43,19,18,5,1,264,128,84,43,1,0,129,7,301,288,11,1,1,9,3,3,0,6,6,0,15,10,5,3,2,60,6,40,2,1,0,11,0,26,4,1,2,19,0,8
"E33020178","E01008914","E02001876",2011,313,32,12,0,12,20,11,6,3,0,86,50,44,1,5,0,23,13,49,24,21,4,0,31,13,13,0,18,18,0,20,12,8,7,1,45,6,12,7,17,0,1,2,42,2,9,8,22,1,8
"E33020179","E01033561","E02001876",2011,1008,201,118,0,118,83,47,34,2,0,293,165,158,4,2,1,23,105,253,93,141,8,11,16,9,9,0,7,7,0,66,34,32,31,1,102,3,62,9,16,0,8,4,64,3,8,14,38,1,13
"E33020180","E01008914","E02001876",2011,1101,166,30,0,30,136,82,52,2,0,339,183,142,36,4,1,124,32,237,163,66,7,1,47,16,15,1,31,31,0,59,37,22,11,11,132,16,56,20,19,0,20,1,64,3,8,27,26,0,57
"E33020181","E01009194","E02001877",2011,393,19,3,0,3,16,8,2,5,1,107,94,88,1,4,1,7,6,70,18,48,4,0,54,10,10,0,44,44,0,19,8,11,11,0,47,11,22,2,8,0,3,1,54,17,2,13,22,0,23
"E33020182","E01009489","E02001877",2011,498,43,8,0,8,35,18,4,13,0,113,85,77,3,5,0,21,7,105,60,40,4,1,74,24,24,0,50,50,0,20,10,10,10,0,94,34,31,7,6,0,16,0,36,7,2,15,12,0,13
"E33020183","E01009194","E02001877",2011,277,30,1,0,1,29,9,3,14,3,37,23,18,1,4,0,6,8,30,18,12,0,0,76,19,19,0,57,57,0,14,8,6,6,0,49,20,14,3,7,0,5,0,26,8,3,12,3,0,15
"E33020183","E01009491","E02001877",2011,277,30,1,0,1,29,9,3,14,3,37,23,18,1,4,0,6,8,30,18,12,0,0,76,19,19,0,57,57,0,14,8,6,6,0,49,20,14,3,7,0,5,0,26,8,3,12,3,0,15
"E33020184","E01009483","E02001877",2011,282,16,3,0,3,13,4,1,7,1,40,28,25,1,2,0,9,3,44,21,20,3,0,51,17,17,0,34,34,0,21,16,5,4,1,73,42,16,2,2,0,10,1,28,11,2,9,6,0,9
"E33020184","E01009489","E02001877",2011,282,16,3,0,3,13,4,1,7,1,40,28,25,1,2,0,9,3,44,21,20,3,0,51,17,17,0,34,34,0,21,16,5,4,1,73,42,16,2,2,0,10,1,28,11,2,9,6,0,9
"E33020185","E01009488","E02001877",2011,307,17,3,0,3,14,6,2,6,0,70,46,40,2,3,1,21,3,38,21,13,2,2,80,17,17,0,63,62,1,11,6,5,5,0,53,18,21,0,6,0,8,0,25,6,2,7,10,0,13
"E33020185","E01009491","E02001877",2011,307,17,3,0,3,14,6,2,6,0,70,46,40,2,3,1,21,3,38,21,13,2,2,80,17,17,0,63,62,1,11,6,5,5,0,53,18,21,0,6,0,8,0,25,6,2,7,10,0,13
"E33020186","E01009199","E02001878",2011,643,55,25,0,25,30,11,12,7,0,108,39,25,6,7,1,57,12,91,57,28,2,4,60,18,18,0,42,42,0,70,20,50,46,4,68,18,16,10,8,1,15,0,162,1,2,110,49,0,29
"E33020187","E01009192","E02001878",2011,318,27,7,0,7,20,10,8,2,0,60,31,19,9,0,3,23,6,23,11,7,2,3,42,13,13,0,29,29,0,58,21,37,34,3,30,6,12,3,5,0,4,0,65,3,4,22,36,0,13
"E33020188","E01033644","E02001878",2011,466,29,8,0,8,21,12,4,5,0,97,54,47,1,6,0,26,17,56,21,32,2,1,94,28,28,0,66,66,0,39,20,19,16,3,83,41,28,4,1,0,7,2,49,15,4,13,17,0,19
"E33020189","E01009192","E02001878",2011,268,10,1,0,1,9,3,1,5,0,33,13,8,2,2,1,12,8,22,9,10,3,0,92,26,26,0,66,66,0,13,10,3,3,0,60,39,13,1,2,0,5,0,21,2,1,16,2,0,17
"E33020189","E01033644","E02001878",2011,268,10,1,0,1,9,3,1,5,0,33,13,8,2,2,1,12,8,22,9,10,3,0,92,26,26,0,66,66,0,13,10,3,3,0,60,39,13,1,2,0,5,0,21,2,1,16,2,0,17
"E33020190","E01009204","E02001878",2011,474,28,8,0,8,20,18,1,1,0,181,153,150,0,3,0,19,9,53,26,25,2,0,62,17,17,0,45,45,0,38,14,24,10,14,52,14,19,1,2,0,11,5,47,4,5,11,27,0,13
"E33020191","E01009346","E02001879",2011,432,13,3,0,3,10,7,0,3,0,83,66,56,3,6,1,13,4,37,10,21,6,0,64,19,19,0,45,45,0,29,24,5,5,0,115,27,74,1,5,0,7,1,56,15,4,10,27,0,35
"E33020191","E01009345","E02001879",2011,432,13,3,0,3,10,7,0,3,0,83,66,56,3,6,1,13,4,37,10,21,6,0,64,19,19,0,45,45,0,29,24,5,5,0,115,27,74,1,5,0,7,1,56,15,4,10,27,0,35
"E33020192","E01009345","E02001879",2011,579,58,11,0,11,47,40,0,6,1,204,170,167,1,1,1,11,23,110,60,24,26,0,51,11,11,0,40,40,0,18,12,6,6,0,64,7,33,3,0,0,20,1,54,32,1,5,16,0,20
"E33020193","E01009153","E02001879",2011,380,36,11,0,11,25,17,5,3,0,70,44,34,4,5,1,7,19,64,26,34,4,0,56,21,21,0,35,35,0,15,6,9,7,2,66,6,20,14,24,0,1,1,56,13,7,24,12,0,17
"E33020194","E01009152","E02001879",2011,421,33,1,0,1,32,20,3,8,1,135,114,102,1,10,1,12,9,79,25,46,8,0,47,12,12,0,35,34,1,18,15,3,3,0,44,9,21,3,3,1,4,3,47,24,2,4,17,0,18
"E33020194","E01009153","E02001879",2011,421,33,1,0,1,32,20,3,8,1,135,114,102,1,10,1,12,9,79,25,46,8,0,47,12,12,0,35,34,1,18,15,3,3,0,44,9,21,3,3,1,4,3,47,24,2,4,17,0,18
"E33020195","E01009152","E02001879",2011,360,22,1,0,1,21,13,2,5,1,34,20,14,0,6,0,11,3,18,14,3,1,0,164,16,16,0,148,148,0,20,16,4,3,1,47,10,26,1,4,0,5,1,36,7,3,12,14,0,19
"E33020195","E01009151","E02001879",2011,360,22,1,0,1,21,13,2,5,1,34,20,14,0,6,0,11,3,18,14,3,1,0,164,16,16,0,148,148,0,20,16,4,3,1,47,10,26,1,4,0,5,1,36,7,3,12,14,0,19
"E33020196","E01009311","E02001880",2011,293,15,2,0,2,13,5,2,6,0,45,34,30,1,3,0,8,3,40,23,10,5,2,66,13,13,0,53,52,1,32,17,15,12,3,53,14,22,5,4,0,7,1,34,3,4,11,16,0,8
"E33020196","E01009298","E02001880",2011,293,15,2,0,2,13,5,2,6,0,45,34,30,1,3,0,8,3,40,23,10,5,2,66,13,13,0,53,52,1,32,17,15,12,3,53,14,22,5,4,0,7,1,34,3,4,11,16,0,8
"E33020196","E01009094","E02001880",2011,293,15,2,0,2,13,5,2,6,0,45,34,30,1,3,0,8,3,40,23,10,5,2,66,13,13,0,53,52,1,32,17,15,12,3,53,14,22,5,4,0,7,1,34,3,4,11,16,0,8
"E33020196","E01009093","E02001880",2011,293,15,2,0,2,13,5,2,6,0,45,34,30,1,3,0,8,3,40,23,10,5,2,66,13,13,0,53,52,1,32,17,15,12,3,53,14,22,5,4,0,7,1,34,3,4,11,16,0,8
"E33020197","E01009092","E02001880",2011,336,9,0,0,0,9,7,2,0,0,71,47,42,2,3,0,16,8,45,14,27,3,1,58,14,14,0,44,44,0,23,15,8,8,0,71,24,31,2,4,0,6,4,46,23,1,10,12,0,13
"E33020197","E01009094","E02001880",2011,336,9,0,0,0,9,7,2,0,0,71,47,42,2,3,0,16,8,45,14,27,3,1,58,14,14,0,44,44,0,23,15,8,8,0,71,24,31,2,4,0,6,4,46,23,1,10,12,0,13
"E33020197","E01009093","E02001880",2011,336,9,0,0,0,9,7,2,0,0,71,47,42,2,3,0,16,8,45,14,27,3,1,58,14,14,0,44,44,0,23,15,8,8,0,71,24,31,2,4,0,6,4,46,23,1,10,12,0,13
"E33020198","E01009511","E02001880",2011,527,24,3,0,3,21,13,7,1,0,152,122,116,1,4,1,13,17,108,25,79,2,2,54,7,7,0,47,47,0,18,10,8,8,0,77,7,45,4,9,0,2,10,83,38,2,17,26,0,11
"E33020198","E01009298","E02001880",2011,527,24,3,0,3,21,13,7,1,0,152,122,116,1,4,1,13,17,108,25,79,2,2,54,7,7,0,47,47,0,18,10,8,8,0,77,7,45,4,9,0,2,10,83,38,2,17,26,0,11
"E33020199","E01009477","E02001881",2011,318,14,2,0,2,12,1,0,11,0,42,17,11,1,4,1,21,4,27,14,11,2,0,100,23,23,0,77,77,0,20,13,7,7,0,69,40,19,1,3,0,5,1,22,8,4,5,5,0,24
"E33020199","E01009492","E02001881",2011,318,14,2,0,2,12,1,0,11,0,42,17,11,1,4,1,21,4,27,14,11,2,0,100,23,23,0,77,77,0,20,13,7,7,0,69,40,19,1,3,0,5,1,22,8,4,5,5,0,24
"E33020199","E01009475","E02001881",2011,318,14,2,0,2,12,1,0,11,0,42,17,11,1,4,1,21,4,27,14,11,2,0,100,23,23,0,77,77,0,20,13,7,7,0,69,40,19,1,3,0,5,1,22,8,4,5,5,0,24
"E33020200","E01009476","E02001881",2011,546,57,8,0,8,49,45,2,2,0,215,197,193,0,4,0,7,11,112,43,34,34,1,31,8,8,0,23,23,0,17,15,2,2,0,65,9,38,3,9,0,6,0,37,1,4,5,27,0,12
"E33020201","E01009490","E02001881",2011,415,24,4,0,4,20,13,1,5,1,158,136,131,1,4,0,13,9,52,22,29,1,0,69,7,7,0,62,62,0,12,9,3,3,0,49,11,26,2,2,0,5,3,30,18,5,0,7,0,21
"E33020202","E01009476","E02001881",2011,400,24,3,0,3,21,13,3,4,1,107,96,80,3,9,4,9,2,42,10,29,1,2,95,17,17,0,78,78,0,21,14,7,6,1,43,4,27,2,3,0,3,4,52,22,1,15,14,0,16
"E33020202","E01009475","E02001881",2011,400,24,3,0,3,21,13,3,4,1,107,96,80,3,9,4,9,2,42,10,29,1,2,95,17,17,0,78,78,0,21,14,7,6,1,43,4,27,2,3,0,3,4,52,22,1,15,14,0,16
"E33020202","E01009477","E02001881",2011,400,24,3,0,3,21,13,3,4,1,107,96,80,3,9,4,9,2,42,10,29,1,2,95,17,17,0,78,78,0,21,14,7,6,1,43,4,27,2,3,0,3,4,52,22,1,15,14,0,16
"E33020203","E01009095","E02001882",2011,566,12,2,0,2,10,4,3,3,0,69,33,15,7,5,6,28,8,44,24,20,0,0,71,19,19,0,52,52,0,77,38,39,38,1,152,108,14,13,8,0,7,2,82,7,3,34,38,0,59
"E33020204","E01009508","E02001882",2011,620,22,9,0,9,13,5,5,3,0,133,49,37,5,4,3,11,73,259,60,194,4,1,66,3,3,0,63,63,0,35,10,25,23,2,45,5,34,3,2,0,1,0,37,7,2,6,21,1,23
"E33020204","E01009510","E02001882",2011,620,22,9,0,9,13,5,5,3,0,133,49,37,5,4,3,11,73,259,60,194,4,1,66,3,3,0,63,63,0,35,10,25,23,2,45,5,34,3,2,0,1,0,37,7,2,6,21,1,23
"E33020204","E01009509","E02001882",2011,620,22,9,0,9,13,5,5,3,0,133,49,37,5,4,3,11,73,259,60,194,4,1,66,3,3,0,63,63,0,35,10,25,23,2,45,5,34,3,2,0,1,0,37,7,2,6,21,1,23
"E33020205","E01009507","E02001882",2011,385,30,4,0,4,26,15,2,9,0,87,65,57,3,5,0,14,8,47,12,31,4,0,63,12,12,0,51,51,0,16,13,3,3,0,78,2,66,0,3,1,3,3,52,23,1,5,23,0,12
"E33020205","E01009509","E02001882",2011,385,30,4,0,4,26,15,2,9,0,87,65,57,3,5,0,14,8,47,12,31,4,0,63,12,12,0,51,51,0,16,13,3,3,0,78,2,66,0,3,1,3,3,52,23,1,5,23,0,12
"E33020206","E01009507","E02001882",2011,607,40,16,0,16,24,18,5,1,0,105,45,33,9,3,0,39,21,42,33,7,0,2,117,27,27,0,90,89,1,66,34,32,26,6,121,30,11,19,59,0,2,0,95,3,18,43,31,0,21
"E33020206","E01009095","E02001882",2011,607,40,16,0,16,24,18,5,1,0,105,45,33,9,3,0,39,21,42,33,7,0,2,117,27,27,0,90,89,1,66,34,32,26,6,121,30,11,19,59,0,2,0,95,3,18,43,31,0,21
"E33020207","E01009510","E02001882",2011,284,16,4,0,4,12,6,1,4,1,46,22,13,6,3,0,23,1,22,19,1,0,2,51,14,14,0,37,37,0,29,23,6,6,0,82,11,60,0,4,0,4,3,19,0,0,5,14,0,19
"E33020207","E01009509","E02001882",2011,284,16,4,0,4,12,6,1,4,1,46,22,13,6,3,0,23,1,22,19,1,0,2,51,14,14,0,37,37,0,29,23,6,6,0,82,11,60,0,4,0,4,3,19,0,0,5,14,0,19
"E33020208","E01009300","E02001883",2011,487,62,25,0,25,37,25,11,1,0,69,36,21,12,3,0,17,16,53,39,12,0,2,35,11,11,0,24,24,0,50,23,27,21,6,118,16,11,38,43,1,6,3,93,1,10,16,66,0,7
"E33020209","E01009301","E02001883",2011,336,22,4,0,4,18,13,0,5,0,76,51,46,2,3,0,20,5,42,15,19,3,5,60,18,18,0,42,41,1,29,13,16,14,2,47,14,22,2,5,1,0,3,44,15,0,12,17,0,16
"E33020209","E01009300","E02001883",2011,336,22,4,0,4,18,13,0,5,0,76,51,46,2,3,0,20,5,42,15,19,3,5,60,18,18,0,42,41,1,29,13,16,14,2,47,14,22,2,5,1,0,3,44,15,0,12,17,0,16
"E33020209","E01009297","E02001883",2011,336,22,4,0,4,18,13,0,5,0,76,51,46,2,3,0,20,5,42,15,19,3,5,60,18,18,0,42,41,1,29,13,16,14,2,47,14,22,2,5,1,0,3,44,15,0,12,17,0,16
"E33020209","E01009303","E02001883",2011,336,22,4,0,4,18,13,0,5,0,76,51,46,2,3,0,20,5,42,15,19,3,5,60,18,18,0,42,41,1,29,13,16,14,2,47,14,22,2,5,1,0,3,44,15,0,12,17,0,16
"E33020210","E01009297","E02001883",2011,340,15,4,0,4,11,8,2,1,0,110,97,91,0,4,2,8,5,33,14,17,2,0,39,11,11,0,28,28,0,30,14,16,16,0,58,8,35,4,5,0,5,1,49,14,5,7,23,0,6
"E33020210","E01009300","E02001883",2011,340,15,4,0,4,11,8,2,1,0,110,97,91,0,4,2,8,5,33,14,17,2,0,39,11,11,0,28,28,0,30,14,16,16,0,58,8,35,4,5,0,5,1,49,14,5,7,23,0,6
"E33020211","E01009299","E02001883",2011,322,31,4,0,4,27,4,17,6,0,66,44,41,1,2,0,14,8,52,22,26,4,0,49,11,11,0,38,38,0,24,12,12,8,4,49,6,25,6,5,0,6,1,47,4,4,15,24,0,4
"E33020211","E01009303","E02001883",2011,322,31,4,0,4,27,4,17,6,0,66,44,41,1,2,0,14,8,52,22,26,4,0,49,11,11,0,38,38,0,24,12,12,8,4,49,6,25,6,5,0,6,1,47,4,4,15,24,0,4
"E33020212","E01009301","E02001883",2011,362,22,12,0,12,10,7,1,1,1,48,29,23,2,4,0,14,5,41,30,7,2,2,46,15,15,0,31,30,1,40,16,24,21,3,61,3,15,21,20,0,1,1,94,14,11,46,22,1,10
"E33020212","E01009303","E02001883",2011,362,22,12,0,12,10,7,1,1,1,48,29,23,2,4,0,14,5,41,30,7,2,2,46,15,15,0,31,30,1,40,16,24,21,3,61,3,15,21,20,0,1,1,94,14,11,46,22,1,10
"E33020213","E01009195","E02001884",2011,678,68,9,0,9,59,41,10,7,1,188,166,154,2,9,1,12,10,96,41,21,32,2,121,17,17,0,104,103,1,28,15,13,12,1,89,20,44,2,13,1,7,2,72,7,15,20,30,0,16
"E33020213","E01009197","E02001884",2011,678,68,9,0,9,59,41,10,7,1,188,166,154,2,9,1,12,10,96,41,21,32,2,121,17,17,0,104,103,1,28,15,13,12,1,89,20,44,2,13,1,7,2,72,7,15,20,30,0,16
"E33020214","E01009198","E02001884",2011,262,21,5,0,5,16,12,1,3,0,38,19,9,8,1,1,17,2,17,15,0,1,1,59,15,15,0,44,44,0,33,17,16,16,0,31,3,6,3,19,0,0,0,59,0,6,28,25,0,4
"E33020215","E01033649","E02001884",2011,844,110,8,0,8,102,82,13,7,0,282,249,231,8,9,1,26,7,129,78,32,17,2,101,15,15,0,86,85,1,29,16,13,12,1,96,19,35,1,7,0,7,27,71,7,4,26,34,0,26
"E33020215","E01033647","E02001884",2011,844,110,8,0,8,102,82,13,7,0,282,249,231,8,9,1,26,7,129,78,32,17,2,101,15,15,0,86,85,1,29,16,13,12,1,96,19,35,1,7,0,7,27,71,7,4,26,34,0,26
"E33020216","E01009140","E02001886",2011,293,40,5,0,5,35,14,10,10,1,78,59,32,5,20,2,15,4,24,15,8,0,1,65,13,13,0,52,52,0,16,12,4,4,0,29,1,22,1,2,0,3,0,23,3,3,4,13,0,18
"E33020216","E01009145","E02001886",2011,293,40,5,0,5,35,14,10,10,1,78,59,32,5,20,2,15,4,24,15,8,0,1,65,13,13,0,52,52,0,16,12,4,4,0,29,1,22,1,2,0,3,0,23,3,3,4,13,0,18
"E33020217","E01009147","E02001886",2011,332,52,2,0,2,50,15,12,18,5,73,53,29,9,12,3,16,4,25,11,11,3,0,63,12,12,0,51,51,0,19,13,6,5,1,63,4,50,2,3,0,4,0,14,4,2,2,6,0,23
"E33020217","E01009139","E02001886",2011,332,52,2,0,2,50,15,12,18,5,73,53,29,9,12,3,16,4,25,11,11,3,0,63,12,12,0,51,51,0,19,13,6,5,1,63,4,50,2,3,0,4,0,14,4,2,2,6,0,23
"E33020217","E01009138","E02001886",2011,332,52,2,0,2,50,15,12,18,5,73,53,29,9,12,3,16,4,25,11,11,3,0,63,12,12,0,51,51,0,19,13,6,5,1,63,4,50,2,3,0,4,0,14,4,2,2,6,0,23
"E33020218","E01009145","E02001886",2011,245,37,6,0,6,31,17,1,12,1,52,38,25,1,11,1,11,3,29,20,2,5,2,27,16,16,0,11,11,0,21,20,1,1,0,41,10,18,0,3,0,9,1,20,4,2,3,11,0,18
"E33020218","E01009147","E02001886",2011,245,37,6,0,6,31,17,1,12,1,52,38,25,1,11,1,11,3,29,20,2,5,2,27,16,16,0,11,11,0,21,20,1,1,0,41,10,18,0,3,0,9,1,20,4,2,3,11,0,18
"E33020219","E01009147","E02001886",2011,350,27,8,0,8,19,9,1,9,0,167,154,141,5,6,2,6,7,41,14,21,5,1,21,3,3,0,18,18,0,16,11,5,5,0,35,2,21,0,2,0,7,3,30,12,1,3,14,0,13
"E33020219","E01009138","E02001886",2011,350,27,8,0,8,19,9,1,9,0,167,154,141,5,6,2,6,7,41,14,21,5,1,21,3,3,0,18,18,0,16,11,5,5,0,35,2,21,0,2,0,7,3,30,12,1,3,14,0,13
"E33020220","E01009138","E02001886",2011,465,33,13,0,13,20,12,5,3,0,109,51,39,2,10,0,42,16,63,41,15,6,1,33,7,7,0,26,26,0,60,54,6,6,0,89,9,62,2,9,0,5,2,67,4,2,11,50,0,11
"E33020220","E01009139","E02001886",2011,465,33,13,0,13,20,12,5,3,0,109,51,39,2,10,0,42,16,63,41,15,6,1,33,7,7,0,26,26,0,60,54,6,6,0,89,9,62,2,9,0,5,2,67,4,2,11,50,0,11
"E33020221","E01009140","E02001886",2011,239,29,6,0,6,23,8,15,0,0,64,41,24,6,11,0,14,9,24,15,7,0,2,22,3,3,0,19,19,0,30,19,11,11,0,27,2,17,2,5,0,1,0,31,12,0,4,15,0,12
"E33020222","E01009140","E02001886",2011,499,65,20,0,20,45,19,20,5,1,124,64,52,5,5,2,32,28,136,66,62,7,1,39,21,21,0,18,18,0,32,24,8,8,0,47,6,19,1,5,0,6,10,40,4,1,21,14,0,16
"E33020223","E01009517","E02001888",2011,336,19,6,0,6,13,10,2,1,0,84,53,48,3,2,0,10,21,79,12,63,1,3,40,7,7,0,33,33,0,27,13,14,12,2,39,8,19,1,1,0,7,3,46,27,2,3,14,0,2
"E33020223","E01009512","E02001888",2011,336,19,6,0,6,13,10,2,1,0,84,53,48,3,2,0,10,21,79,12,63,1,3,40,7,7,0,33,33,0,27,13,14,12,2,39,8,19,1,1,0,7,3,46,27,2,3,14,0,2
"E33020224","E01009517","E02001888",2011,431,24,1,0,1,23,18,2,2,1,186,149,139,3,6,1,13,24,61,13,46,2,0,52,5,5,0,47,46,1,14,9,5,5,0,39,3,22,1,6,0,5,2,48,17,4,12,15,0,7
"E33020224","E01009516","E02001888",2011,431,24,1,0,1,23,18,2,2,1,186,149,139,3,6,1,13,24,61,13,46,2,0,52,5,5,0,47,46,1,14,9,5,5,0,39,3,22,1,6,0,5,2,48,17,4,12,15,0,7
"E33020224","E01009514","E02001888",2011,431,24,1,0,1,23,18,2,2,1,186,149,139,3,6,1,13,24,61,13,46,2,0,52,5,5,0,47,46,1,14,9,5,5,0,39,3,22,1,6,0,5,2,48,17,4,12,15,0,7
"E33020225","E01009516","E02001888",2011,411,22,7,0,7,15,5,3,6,1,72,39,32,4,2,1,25,8,37,28,5,1,3,84,16,16,0,68,68,0,35,20,15,15,0,98,25,63,3,6,0,1,0,48,11,3,13,21,0,15
"E33020225","E01009514","E02001888",2011,411,22,7,0,7,15,5,3,6,1,72,39,32,4,2,1,25,8,37,28,5,1,3,84,16,16,0,68,68,0,35,20,15,15,0,98,25,63,3,6,0,1,0,48,11,3,13,21,0,15
"E33020226","E01033642","E02001889",2011,754,64,3,0,3,61,25,6,29,1,143,100,90,3,3,4,14,29,111,39,57,14,1,152,46,46,0,106,106,0,23,13,10,10,0,153,32,87,2,8,1,23,0,69,9,6,27,27,0,39
