"wz11cd","lsoa11cd","msoa11cd","date","Industry: All categories: Industry; measures: Value","Industry: A Agriculture, forestry and fishing; measures: Value","Industry: B Mining and quarrying; measures: Value","Industry: C Manufacturing; measures: Value","Industry: C10-12 Manufacturing: Food, beverages and tobacco; measures: Value","Industry: C13-15 Manufacturing: Textiles, wearing apparel and leather and related products; measures: Value","Industry: C16,17 Manufacturing: Wood, paper and paper products; measures: Value","Industry: C19-22 Manufacturing: Chemicals, chemical products, rubber and plastic; measures: Value","Industry: C23-25 Manufacturing: Low tech; measures: Value","Industry: C26-30 Manufacturing: High tech; measures: Value","Industry: C18, 31, 32 Manufacturing: Other; measures: Value","Industry: D Electricity, gas, steam and air conditioning supply; measures: Value","Industry: E Water supply, sewerage, waste management and remediation activities; measures: Value","Industry: F Construction; measures: Value","Industry: G Wholesale and retail trade; repair of motor vehicles and motor cycles; measures: Value","Industry: H Transport and storage; measures: Value","Industry: I Accommodation and food service activities; measures: Value","Industry: J Information and communication; measures: Value","Industry: K Financial and insurance activities; measures: Value","Industry: L Real estate activities; measures: Value","Industry: M Professional, scientific and technical activities; measures: Value","Industry: N Administrative and support service activities; measures: Value","Industry: O Public administration and defence; compulsory social security; measures: Value","Industry: P Education; measures: Value","Industry: Q Human health and social work activities; measures: Value","Industry: R,S Arts, entertainment and recreation; other service activities; measures: Value","Industry: T Activities of households as employers; undifferentiated goods - and services - producing activities of households for own use; measures: Value","Industry: U Activities of extraterritorial organisations and bodies; measures: Value"
"E33019936","E01033622","E02006899",2011,233,0,0,20,0,0,0,0,0,1,19,2,0,6,12,2,4,50,5,5,38,9,1,31,35,13,0,0
"E33019937","E01033622","E02006899",2011,306,1,0,5,0,0,0,0,1,3,1,0,0,80,15,1,6,19,12,10,70,22,4,22,11,28,0,0
"E33019938","E01033622","E02006899",2011,677,1,0,6,0,1,0,0,2,3,0,1,0,60,9,4,15,12,115,25,264,10,78,58,14,5,0,0
"E33019939","E01033619","E02006898",2011,264,0,0,42,1,1,0,0,4,3,33,0,0,11,74,13,4,12,13,2,18,44,3,4,10,14,0,0
"E33019940","E01033619","E02006898",2011,420,0,0,14,1,0,0,0,5,0,8,0,2,17,195,2,20,5,15,1,73,11,2,35,13,15,0,0
"E33019941","E01033619","E02006898",2011,348,0,0,139,2,1,1,1,59,4,71,0,1,4,91,17,2,25,13,0,17,5,1,9,10,14,0,0
"E33019942","E01033623","E02006899",2011,324,0,0,147,2,0,0,8,69,14,54,0,0,12,18,25,12,17,5,2,57,9,2,3,9,6,0,0
"E33019943","E01033623","E02006899",2011,615,0,0,10,0,0,0,1,2,6,1,1,1,12,22,36,42,8,176,15,225,23,7,3,19,15,0,0
"E33019944","E01033623","E02006899",2011,600,0,0,55,0,0,0,1,15,11,28,1,2,15,48,3,24,49,40,24,104,138,11,37,27,21,0,1
"E33019945","E01033631","E02001905",2011,233,1,0,4,1,0,0,0,1,2,0,0,0,3,11,1,18,1,1,8,9,14,4,115,31,12,0,0
"E33019946","E01033631","E02001905",2011,576,0,0,25,0,0,0,23,0,0,2,0,0,6,15,21,3,5,5,3,62,9,54,110,254,4,0,0
"E33019947","E01009143","E02006897",2011,601,0,1,2,0,0,0,1,1,0,0,0,1,2,5,3,2,43,46,40,80,13,331,3,5,24,0,0
"E33019948","E01009143","E02006897",2011,447,1,0,7,1,0,0,0,4,1,1,0,1,16,29,144,57,13,8,2,12,27,9,35,40,46,0,0
"E33019949","E01009143","E02006897",2011,1166,2,0,15,1,0,0,1,8,4,1,0,2,20,166,9,41,80,194,15,167,250,43,67,85,10,0,0
"E33019950","E01033565","E02006898",2011,1072,0,0,2,0,0,0,0,0,2,0,1,0,8,15,2,53,7,772,0,41,31,124,8,4,4,0,0
"E33019951","E01033620","E02006899",2011,559,0,0,21,0,0,0,0,3,16,2,1,0,46,20,46,17,1,2,2,311,32,5,9,36,10,0,0
"E33019952","E01033620","E02006899",2011,350,0,0,2,0,0,0,0,0,1,1,0,2,5,10,5,95,8,35,4,12,87,9,27,11,37,0,1
"E33019953","E01033620","E02006899",2011,359,0,0,11,0,0,0,0,1,8,2,0,3,3,99,29,34,4,4,1,34,82,3,11,18,23,0,0
"E33019954","E01009342","E02001889",2011,1441,0,0,17,1,2,1,0,1,6,6,1,9,19,52,22,20,8,8,4,10,106,23,38,1096,8,0,0
"E33019955","E01033622","E02006899",2011,443,1,0,35,1,1,0,0,25,2,6,1,2,18,12,3,40,4,34,7,182,27,2,50,6,19,0,0
"E33019956","E01033623","E02006899",2011,212,0,0,2,0,0,0,0,2,0,0,0,0,45,14,3,18,10,66,9,24,14,1,3,1,2,0,0
"E33019957","E01009239","E02001859",2011,1563,6,0,13,0,0,0,0,3,6,4,2,3,13,20,200,46,4,5,0,3,30,18,1099,21,80,0,0
"E33019958","E01009239","E02001859",2011,698,0,0,81,1,0,40,1,15,17,7,3,7,9,218,172,19,42,7,1,14,40,40,4,14,27,0,0
"E33019959","E01009239","E02001859",2011,535,0,0,228,1,0,1,6,173,21,26,8,69,19,47,15,9,2,2,7,35,44,26,12,8,4,0,0
"E33019960","E01008914","E02001876",2011,248,0,0,66,0,15,0,1,17,5,28,0,2,13,124,7,4,1,0,0,2,9,8,3,3,4,0,2
"E33019961","E01008914","E02001876",2011,215,0,0,39,2,3,1,3,2,23,5,2,0,82,41,6,4,4,0,3,1,9,0,3,5,16,0,0
"E33019962","E01008914","E02001876",2011,246,0,0,96,1,7,0,4,32,6,46,0,0,8,60,9,14,0,1,2,15,3,5,4,13,16,0,0
"E33019963","E01008914","E02001876",2011,227,0,0,52,0,0,0,2,17,5,28,1,1,21,6,3,1,0,0,0,3,10,2,2,124,1,0,0
"E33019964","E01008914","E02001876",2011,224,0,0,100,1,0,1,0,70,5,23,0,1,34,32,19,12,1,0,0,4,15,1,0,3,2,0,0
"E33019965","E01008914","E02001876",2011,444,0,1,305,2,4,2,5,116,73,103,0,1,19,51,5,1,0,4,5,25,13,6,1,2,5,0,0
"E33019966","E01009418","E02001827",2011,284,1,0,20,2,0,0,3,7,5,3,1,2,41,84,12,11,14,14,2,17,18,4,11,13,19,0,0
"E33019966","E01009433","E02001827",2011,284,1,0,20,2,0,0,3,7,5,3,1,2,41,84,12,11,14,14,2,17,18,4,11,13,19,0,0
"E33019967","E01009418","E02001827",2011,635,1,0,37,5,1,0,8,3,12,8,1,0,64,54,16,34,37,17,16,49,36,11,146,70,43,3,0
"E33019967","E01009433","E02001827",2011,635,1,0,37,5,1,0,8,3,12,8,1,0,64,54,16,34,37,17,16,49,36,11,146,70,43,3,0
"E33019967","E01009419","E02001827",2011,635,1,0,37,5,1,0,8,3,12,8,1,0,64,54,16,34,37,17,16,49,36,11,146,70,43,3,0
"E33019967","E01009417","E02001827",2011,635,1,0,37,5,1,0,8,3,12,8,1,0,64,54,16,34,37,17,16,49,36,11,146,70,43,3,0
"E33019968","E01009415","E02001828",2011,258,1,0,37,0,0,1,2,0,27,7,1,1,31,24,6,7,9,15,9,53,18,5,12,17,12,0,0
"E33019968","E01009423","E02001828",2011,258,1,0,37,0,0,1,2,0,27,7,1,1,31,24,6,7,9,15,9,53,18,5,12,17,12,0,0
"E33019969","E01009423","E02001828",2011,437,0,0,46,2,1,2,0,7,9,25,2,1,97,132,13,11,8,28,4,9,15,2,13,23,33,0,0
"E33019969","E01009425","E02001828",2011,437,0,0,46,2,1,2,0,7,9,25,2,1,97,132,13,11,8,28,4,9,15,2,13,23,33,0,0
"E33019970","E01009425","E02001828",2011,420,0,0,8,0,1,0,0,0,5,2,2,0,22,18,4,35,3,6,4,8,14,5,259,22,10,0,0
"E33019970","E01009415","E02001828",2011,420,0,0,8,0,1,0,0,0,5,2,2,0,22,18,4,35,3,6,4,8,14,5,259,22,10,0,0
"E33019970","E01009422","E02001828",2011,420,0,0,8,0,1,0,0,0,5,2,2,0,22,18,4,35,3,6,4,8,14,5,259,22,10,0,0
"E33019971","E01009425","E02001828",2011,475,1,0,16,1,0,0,4,7,2,2,0,1,20,76,2,34,11,32,4,68,19,5,17,78,88,3,0
"E33019972","E01009422","E02001828",2011,496,0,0,22,2,3,0,5,2,2,8,1,0,45,74,12,32,24,11,50,47,18,5,21,62,69,3,0
"E33019972","E01009425","E02001828",2011,496,0,0,22,2,3,0,5,2,2,8,1,0,45,74,12,32,24,11,50,47,18,5,21,62,69,3,0
"E33019973","E01009420","E02001829",2011,364,0,0,21,5,0,1,2,2,6,5,1,1,66,32,15,8,16,7,10,19,22,7,93,24,19,3,0
"E33019973","E01009426","E02001829",2011,364,0,0,21,5,0,1,2,2,6,5,1,1,66,32,15,8,16,7,10,19,22,7,93,24,19,3,0
"E33019973","E01009416","E02001829",2011,364,0,0,21,5,0,1,2,2,6,5,1,1,66,32,15,8,16,7,10,19,22,7,93,24,19,3,0
"E33019974","E01009416","E02001829",2011,324,12,1,29,4,1,1,2,5,2,14,1,2,51,52,9,22,15,16,3,27,23,5,19,18,18,1,0
"E33019975","E01009431","E02001829",2011,367,0,0,19,2,1,2,2,3,6,3,1,0,25,25,9,10,13,4,8,43,11,5,153,31,10,0,0
"E33019975","E01009429","E02001829",2011,367,0,0,19,2,1,2,2,3,6,3,1,0,25,25,9,10,13,4,8,43,11,5,153,31,10,0,0
"E33019975","E01009426","E02001829",2011,367,0,0,19,2,1,2,2,3,6,3,1,0,25,25,9,10,13,4,8,43,11,5,153,31,10,0,0
"E33019976","E01009431","E02001829",2011,412,0,0,20,1,1,2,2,9,2,3,0,0,43,47,3,142,16,14,2,34,11,6,19,10,45,0,0
"E33019976","E01009426","E02001829",2011,412,0,0,20,1,1,2,2,9,2,3,0,0,43,47,3,142,16,14,2,34,11,6,19,10,45,0,0
"E33019976","E01009429","E02001829",2011,412,0,0,20,1,1,2,2,9,2,3,0,0,43,47,3,142,16,14,2,34,11,6,19,10,45,0,0
"E33019977","E01009424","E02001830",2011,421,0,0,10,2,0,1,3,1,1,2,1,6,27,53,11,119,19,30,3,48,21,7,17,17,31,1,0
"E33019977","E01009421","E02001830",2011,421,0,0,10,2,0,1,3,1,1,2,1,6,27,53,11,119,19,30,3,48,21,7,17,17,31,1,0
"E33019978","E01009424","E02001830",2011,338,0,0,36,1,1,0,12,0,4,18,2,6,31,41,3,7,9,5,7,89,18,5,15,45,18,1,0
"E33019979","E01009424","E02001830",2011,230,0,0,6,2,1,0,0,2,0,1,3,1,8,8,111,0,4,1,3,12,8,3,8,48,5,1,0
"E33019979","E01009430","E02001830",2011,230,0,0,6,2,1,0,0,2,0,1,3,1,8,8,111,0,4,1,3,12,8,3,8,48,5,1,0
"E33019980","E01009427","E02001830",2011,333,0,0,25,0,1,1,2,4,6,11,0,0,20,25,4,7,49,26,11,22,15,5,86,25,8,5,0
"E33019980","E01009430","E02001830",2011,333,0,0,25,0,1,1,2,4,6,11,0,0,20,25,4,7,49,26,11,22,15,5,86,25,8,5,0
"E33019981","E01009430","E02001830",2011,281,0,0,5,0,0,0,1,1,0,3,1,1,15,29,2,34,11,9,6,26,5,1,79,45,11,1,0
"E33019981","E01009427","E02001830",2011,281,0,0,5,0,0,0,1,1,0,3,1,1,15,29,2,34,11,9,6,26,5,1,79,45,11,1,0
"E33019982","E01009468","E02001830",2011,278,0,0,22,2,1,0,3,3,6,7,3,1,35,22,5,22,15,8,10,29,7,8,16,66,8,0,1
"E33019983","E01009424","E02001830",2011,349,0,0,6,0,0,2,1,2,0,1,1,2,19,14,15,2,1,19,55,105,65,1,6,16,22,0,0
"E33019984","E01009424","E02001830",2011,914,0,0,15,2,2,0,1,6,3,1,2,2,40,36,5,23,26,25,5,69,33,92,472,54,15,0,0
"E33019984","E01009428","E02001830",2011,914,0,0,15,2,2,0,1,6,3,1,2,2,40,36,5,23,26,25,5,69,33,92,472,54,15,0,0
"E33019985","E01009448","E02001831",2011,321,1,0,9,1,0,1,1,1,3,2,1,1,53,14,9,16,12,3,4,21,23,15,79,41,17,2,0
"E33019985","E01009445","E02001831",2011,321,1,0,9,1,0,1,1,1,3,2,1,1,53,14,9,16,12,3,4,21,23,15,79,41,17,2,0
"E33019986","E01009447","E02001831",2011,262,0,0,7,0,0,0,1,2,2,2,1,2,37,22,4,9,15,12,2,21,17,4,13,83,13,0,0
"E33019986","E01009446","E02001831",2011,262,0,0,7,0,0,0,1,2,2,2,1,2,37,22,4,9,15,12,2,21,17,4,13,83,13,0,0
"E33019987","E01009447","E02001831",2011,704,0,0,18,1,0,0,2,6,6,3,3,3,72,19,9,10,18,7,4,24,35,433,17,19,13,0,0
"E33019987","E01009445","E02001831",2011,704,0,0,18,1,0,0,2,6,6,3,3,3,72,19,9,10,18,7,4,24,35,433,17,19,13,0,0
"E33019987","E01009446","E02001831",2011,704,0,0,18,1,0,0,2,6,6,3,3,3,72,19,9,10,18,7,4,24,35,433,17,19,13,0,0
"E33019988","E01009452","E02001831",2011,364,0,0,17,1,0,0,2,3,4,7,3,0,49,20,8,8,9,4,3,15,13,14,139,51,11,0,0
"E33019988","E01009455","E02001831",2011,364,0,0,17,1,0,0,2,3,4,7,3,0,49,20,8,8,9,4,3,15,13,14,139,51,11,0,0
"E33019989","E01009447","E02001831",2011,534,0,0,7,1,0,0,0,1,4,1,2,0,34,36,6,24,11,4,1,16,26,11,313,31,12,0,0
"E33019989","E01009452","E02001831",2011,534,0,0,7,1,0,0,0,1,4,1,2,0,34,36,6,24,11,4,1,16,26,11,313,31,12,0,0
"E33019989","E01009448","E02001831",2011,534,0,0,7,1,0,0,0,1,4,1,2,0,34,36,6,24,11,4,1,16,26,11,313,31,12,0,0
"E33019990","E01009437","E02001832",2011,213,0,0,3,0,0,0,0,3,0,0,0,0,10,44,11,8,5,2,13,7,11,3,9,33,53,1,0
"E33019991","E01009444","E02001832",2011,370,0,0,16,3,0,0,1,4,5,3,3,0,39,50,11,46,7,7,2,23,15,4,13,105,26,3,0
"E33019992","E01009454","E02001832",2011,282,0,0,27,1,0,0,4,3,10,9,1,3,46,59,5,14,10,10,3,34,16,4,17,20,13,0,0
"E33019992","E01009435","E02001832",2011,282,0,0,27,1,0,0,4,3,10,9,1,3,46,59,5,14,10,10,3,34,16,4,17,20,13,0,0
"E33019993","E01009432","E02001832",2011,3177,0,0,34,2,1,1,4,8,14,4,2,2,35,49,16,33,8,11,2,29,31,21,92,2788,24,0,0
"E33019994","E01009437","E02001832",2011,381,0,0,6,0,0,0,2,0,0,4,1,1,15,12,1,52,5,1,2,13,18,6,147,85,16,0,0
"E33019995","E01009435","E02001832",2011,327,0,0,12,0,0,0,4,2,3,3,2,1,42,21,8,49,14,17,6,30,33,6,13,57,16,0,0
"E33019995","E01009437","E02001832",2011,327,0,0,12,0,0,0,4,2,3,3,2,1,42,21,8,49,14,17,6,30,33,6,13,57,16,0,0
"E33019996","E01009467","E02001833",2011,329,0,0,11,1,0,0,1,1,3,5,0,1,44,31,9,10,15,5,4,13,16,5,99,43,23,0,0
"E33019996","E01009465","E02001833",2011,329,0,0,11,1,0,0,1,1,3,5,0,1,44,31,9,10,15,5,4,13,16,5,99,43,23,0,0
"E33019997","E01009221","E02001833",2011,345,0,0,5,2,0,0,0,2,1,0,0,1,20,81,15,38,2,23,2,4,12,36,17,47,42,0,0
"E33019998","E01009464","E02001833",2011,292,0,0,15,0,0,0,2,5,4,4,1,1,49,44,13,44,8,4,2,17,8,8,16,44,18,0,0
"E33019998","E01009465","E02001833",2011,292,0,0,15,0,0,0,2,5,4,4,1,1,49,44,13,44,8,4,2,17,8,8,16,44,18,0,0
"E33019999","E01009221","E02001833",2011,352,0,0,11,2,1,1,1,3,2,1,0,0,38,54,14,13,6,4,14,34,10,65,12,66,11,0,0
"E33019999","E01009465","E02001833",2011,352,0,0,11,2,1,1,1,3,2,1,0,0,38,54,14,13,6,4,14,34,10,65,12,66,11,0,0
"E33020000","E01009220","E02001834",2011,576,1,0,41,6,1,3,6,10,7,8,4,1,137,58,23,23,12,4,3,17,30,12,102,68,40,0,0
"E33020000","E01009233","E02001834",2011,576,1,0,41,6,1,3,6,10,7,8,4,1,137,58,23,23,12,4,3,17,30,12,102,68,40,0,0
"E33020000","E01009224","E02001834",2011,576,1,0,41,6,1,3,6,10,7,8,4,1,137,58,23,23,12,4,3,17,30,12,102,68,40,0,0
"E33020000","E01009222","E02001834",2011,576,1,0,41,6,1,3,6,10,7,8,4,1,137,58,23,23,12,4,3,17,30,12,102,68,40,0,0
"E33020001","E01009471","E02001835",2011,288,0,0,8,0,0,0,1,1,3,3,0,0,27,32,7,40,10,8,22,22,14,3,10,59,25,0,1
"E33020002","E01009453","E02001835",2011,566,0,0,18,3,0,0,2,2,6,5,1,0,45,96,11,28,24,22,12,66,28,14,31,147,23,0,0
"E33020002","E01009449","E02001835",2011,566,0,0,18,3,0,0,2,2,6,5,1,0,45,96,11,28,24,22,12,66,28,14,31,147,23,0,0
"E33020002","E01009451","E02001835",2011,566,0,0,18,3,0,0,2,2,6,5,1,0,45,96,11,28,24,22,12,66,28,14,31,147,23,0,0
"E33020003","E01009471","E02001835",2011,272,0,0,12,6,0,1,1,0,1,3,1,0,15,28,3,3,12,11,4,20,4,3,19,106,30,1,0
"E33020003","E01009466","E02001835",2011,272,0,0,12,6,0,1,1,0,1,3,1,0,15,28,3,3,12,11,4,20,4,3,19,106,30,1,0
"E33020004","E01009466","E02001835",2011,357,0,0,17,1,0,2,0,1,10,3,2,1,26,22,1,8,16,7,3,34,13,2,133,55,16,1,0
"E33020005","E01009449","E02001835",2011,506,0,0,12,1,1,0,0,0,5,5,0,2,29,52,31,39,5,9,15,35,22,68,27,60,100,0,0
"E33020006","E01009451","E02001835",2011,450,2,0,7,0,0,0,1,1,3,2,0,1,24,25,7,20,13,2,4,20,14,7,232,65,7,0,0
"E33020007","E01009472","E02001836",2011,370,1,0,30,2,2,0,4,4,6,12,0,2,52,34,4,2,16,10,3,59,69,4,12,43,26,3,0
"E33020007","E01009474","E02001836",2011,370,1,0,30,2,2,0,4,4,6,12,0,2,52,34,4,2,16,10,3,59,69,4,12,43,26,3,0
"E33020007","E01009470","E02001836",2011,370,1,0,30,2,2,0,4,4,6,12,0,2,52,34,4,2,16,10,3,59,69,4,12,43,26,3,0
"E33020008","E01009472","E02001836",2011,309,0,0,15,2,0,0,1,0,5,7,2,0,52,39,15,13,21,9,4,14,18,6,37,50,13,1,0
"E33020008","E01009135","E02001836",2011,309,0,0,15,2,0,0,1,0,5,7,2,0,52,39,15,13,21,9,4,14,18,6,37,50,13,1,0
"E33020008","E01009473","E02001836",2011,309,0,0,15,2,0,0,1,0,5,7,2,0,52,39,15,13,21,9,4,14,18,6,37,50,13,1,0
"E33020009","E01009469","E02001836",2011,263,0,0,7,0,0,0,0,1,1,5,3,0,29,22,9,9,5,6,1,12,9,5,122,9,15,0,0
"E33020009","E01009470","E02001836",2011,263,0,0,7,0,0,0,0,1,1,5,3,0,29,22,9,9,5,6,1,12,9,5,122,9,15,0,0
"E33020010","E01009474","E02001836",2011,306,0,0,19,2,1,1,2,3,6,4,2,1,51,9,7,6,11,3,4,19,2,6,126,31,9,0,0
"E33020010","E01009472","E02001836",2011,306,0,0,19,2,1,1,2,3,6,4,2,1,51,9,7,6,11,3,4,19,2,6,126,31,9,0,0
"E33020011","E01009473","E02001836",2011,1444,1,0,18,0,0,0,4,8,3,3,2,1,39,827,6,84,8,23,4,47,49,9,36,217,72,0,1
"E33020011","E01009469","E02001836",2011,1444,1,0,18,0,0,0,4,8,3,3,2,1,39,827,6,84,8,23,4,47,49,9,36,217,72,0,1
"E33020012","E01009133","E02001837",2011,654,0,0,19,0,0,0,1,7,5,6,0,5,106,50,7,26,7,2,4,4,78,13,189,113,31,0,0
"E33020012","E01009134","E02001837",2011,654,0,0,19,0,0,0,1,7,5,6,0,5,106,50,7,26,7,2,4,4,78,13,189,113,31,0,0
"E33020012","E01009131","E02001837",2011,654,0,0,19,0,0,0,1,7,5,6,0,5,106,50,7,26,7,2,4,4,78,13,189,113,31,0,0
"E33020012","E01009130","E02001837",2011,654,0,0,19,0,0,0,1,7,5,6,0,5,106,50,7,26,7,2,4,4,78,13,189,113,31,0,0
"E33020013","E01009128","E02001837",2011,357,0,0,11,0,0,0,4,1,2,4,1,5,77,63,9,23,2,30,3,8,21,5,19,54,26,0,0
"E33020013","E01009131","E02001837",2011,357,0,0,11,0,0,0,4,1,2,4,1,5,77,63,9,23,2,30,3,8,21,5,19,54,26,0,0
"E33020013","E01009127","E02001837",2011,357,0,0,11,0,0,0,4,1,2,4,1,5,77,63,9,23,2,30,3,8,21,5,19,54,26,0,0
"E33020014","E01009137","E02001837",2011,337,0,0,11,0,0,1,1,2,2,5,4,3,38,62,15,19,3,31,11,7,24,11,20,14,64,0,0
"E33020014","E01009134","E02001837",2011,337,0,0,11,0,0,1,1,2,2,5,4,3,38,62,15,19,3,31,11,7,24,11,20,14,64,0,0
"E33020015","E01009440","E02001838",2011,383,0,0,11,1,0,0,2,2,3,3,2,0,19,37,4,15,6,14,15,15,6,2,139,72,26,0,0
"E33020015","E01009436","E02001838",2011,383,0,0,11,1,0,0,2,2,3,3,2,0,19,37,4,15,6,14,15,15,6,2,139,72,26,0,0
"E33020016","E01009438","E02001838",2011,280,1,1,21,2,1,1,2,7,2,6,3,3,63,28,10,4,17,16,4,28,11,10,27,12,21,0,0
"E33020016","E01009436","E02001838",2011,280,1,1,21,2,1,1,2,7,2,6,3,3,63,28,10,4,17,16,4,28,11,10,27,12,21,0,0
"E33020017","E01009440","E02001838",2011,281,0,1,6,0,1,0,0,0,4,1,0,0,22,7,2,12,4,5,4,8,10,5,109,80,6,0,0
"E33020018","E01009450","E02001838",2011,367,1,0,23,0,0,0,2,3,14,4,4,3,51,74,24,8,28,13,3,29,27,5,43,13,17,1,0
"E33020018","E01009434","E02001838",2011,367,1,0,23,0,0,0,2,3,14,4,4,3,51,74,24,8,28,13,3,29,27,5,43,13,17,1,0
"E33020019","E01009225","E02001839",2011,365,0,0,8,0,0,0,3,0,3,2,1,0,24,29,12,20,2,3,2,13,13,4,190,23,21,0,0
"E33020019","E01009223","E02001839",2011,365,0,0,8,0,0,0,3,0,3,2,1,0,24,29,12,20,2,3,2,13,13,4,190,23,21,0,0
"E33020019","E01009228","E02001839",2011,365,0,0,8,0,0,0,3,0,3,2,1,0,24,29,12,20,2,3,2,13,13,4,190,23,21,0,0
"E33020020","E01009227","E02001839",2011,328,0,0,23,1,3,0,0,8,5,6,3,0,66,57,14,24,10,3,2,16,20,13,20,27,30,0,0
"E33020020","E01009228","E02001839",2011,328,0,0,23,1,3,0,0,8,5,6,3,0,66,57,14,24,10,3,2,16,20,13,20,27,30,0,0
"E33020021","E01009223","E02001839",2011,254,0,1,41,1,0,0,10,10,3,17,0,1,30,52,3,19,4,6,1,12,45,3,6,5,25,0,0
"E33020022","E01009228","E02001839",2011,310,0,0,10,1,0,0,1,1,3,4,0,1,45,18,11,9,5,1,5,5,15,4,91,82,8,0,0
"E33020022","E01009225","E02001839",2011,310,0,0,10,1,0,0,1,1,3,4,0,1,45,18,11,9,5,1,5,5,15,4,91,82,8,0,0
"E33020023","E01009129","E02001840",2011,305,0,0,12,1,0,1,4,1,2,3,1,0,56,47,11,8,5,4,2,7,18,1,73,49,11,0,0
"E33020023","E01009132","E02001840",2011,305,0,0,12,1,0,1,4,1,2,3,1,0,56,47,11,8,5,4,2,7,18,1,73,49,11,0,0
"E33020024","E01009121","E02001840",2011,245,0,0,5,0,1,0,1,1,1,1,0,0,8,38,7,11,5,12,1,5,13,10,35,83,11,1,0
"E33020025","E01009122","E02001840",2011,353,0,0,11,0,1,0,1,4,1,4,1,1,188,16,9,36,5,4,16,6,18,11,15,10,6,0,0
"E33020026","E01009136","E02001840",2011,376,0,0,10,1,0,0,0,3,5,1,3,0,24,40,7,10,2,5,3,8,23,29,14,184,14,0,0
"E33020026","E01009132","E02001840",2011,376,0,0,10,1,0,0,0,3,5,1,3,0,24,40,7,10,2,5,3,8,23,29,14,184,14,0,0
"E33020027","E01009121","E02001840",2011,274,0,0,3,0,1,0,0,1,0,1,1,1,19,54,2,25,5,1,1,1,1,2,68,74,16,0,0
"E33020028","E01009463","E02001841",2011,245,0,1,10,1,1,0,0,2,2,4,2,2,32,17,4,7,12,7,1,13,13,2,45,57,20,0,0
"E33020028","E01009457","E02001841",2011,245,0,1,10,1,1,0,0,2,2,4,2,2,32,17,4,7,12,7,1,13,13,2,45,57,20,0,0
"E33020029","E01009463","E02001841",2011,274,0,0,8,0,0,0,0,0,2,6,1,0,32,18,4,12,12,11,8,21,7,3,35,90,11,1,0
"E33020029","E01009459","E02001841",2011,274,0,0,8,0,0,0,0,0,2,6,1,0,32,18,4,12,12,11,8,21,7,3,35,90,11,1,0
"E33020030","E01009461","E02001841",2011,318,1,0,24,1,0,0,2,3,7,11,0,1,35,34,16,11,19,17,9,32,11,3,50,24,30,0,1
"E33020030","E01009463","E02001841",2011,318,1,0,24,1,0,0,2,3,7,11,0,1,35,34,16,11,19,17,9,32,11,3,50,24,30,0,1
"E33020031","E01009459","E02001841",2011,323,2,0,15,2,0,0,1,3,3,6,1,0,31,33,4,22,9,6,3,20,16,4,74,74,9,0,0
"E33020031","E01009457","E02001841",2011,323,2,0,15,2,0,0,1,3,3,6,1,0,31,33,4,22,9,6,3,20,16,4,74,74,9,0,0
"E33020032","E01009245","E02001842",2011,299,0,0,22,1,1,0,2,4,5,9,0,1,45,25,20,34,6,5,1,6,12,6,34,70,12,0,0
"E33020032","E01009246","E02001842",2011,299,0,0,22,1,1,0,2,4,5,9,0,1,45,25,20,34,6,5,1,6,12,6,34,70,12,0,0
"E33020032","E01009235","E02001842",2011,299,0,0,22,1,1,0,2,4,5,9,0,1,45,25,20,34,6,5,1,6,12,6,34,70,12,0,0
"E33020033","E01009247","E02001842",2011,295,1,0,20,1,1,0,1,6,7,4,2,1,37,21,3,7,10,4,0,8,16,30,95,23,16,1,0
"E33020033","E01009246","E02001842",2011,295,1,0,20,1,1,0,1,6,7,4,2,1,37,21,3,7,10,4,0,8,16,30,95,23,16,1,0
"E33020033","E01009243","E02001842",2011,295,1,0,20,1,1,0,1,6,7,4,2,1,37,21,3,7,10,4,0,8,16,30,95,23,16,1,0
"E33020034","E01009245","E02001842",2011,348,0,0,15,2,1,1,0,5,5,1,2,2,37,78,6,19,9,70,24,6,9,10,15,18,28,0,0
"E33020034","E01009243","E02001842",2011,348,0,0,15,2,1,1,0,5,5,1,2,2,37,78,6,19,9,70,24,6,9,10,15,18,28,0,0
"E33020035","E01009230","E02001843",2011,250,1,0,12,2,0,0,1,4,2,3,0,1,22,28,92,5,9,7,1,4,9,7,28,14,10,0,0
"E33020035","E01009229","E02001843",2011,250,1,0,12,2,0,0,1,4,2,3,0,1,22,28,92,5,9,7,1,4,9,7,28,14,10,0,0
"E33020036","E01009229","E02001843",2011,365,0,0,21,2,2,1,2,1,7,6,2,0,82,43,54,18,9,9,0,14,15,10,10,46,32,0,0
"E33020036","E01009231","E02001843",2011,365,0,0,21,2,2,1,2,1,7,6,2,0,82,43,54,18,9,9,0,14,15,10,10,46,32,0,0
"E33020036","E01009230","E02001843",2011,365,0,0,21,2,2,1,2,1,7,6,2,0,82,43,54,18,9,9,0,14,15,10,10,46,32,0,0
"E33020037","E01009231","E02001843",2011,322,0,0,9,1,0,1,1,2,3,1,0,0,17,46,2,5,4,5,14,7,6,55,75,57,20,0,0
"E33020038","E01009230","E02001843",2011,648,0,0,9,1,0,0,2,1,3,2,2,3,42,130,19,24,7,16,0,41,18,42,17,225,53,0,0
"E33020038","E01009226","E02001843",2011,648,0,0,9,1,0,0,2,1,3,2,2,3,42,130,19,24,7,16,0,41,18,42,17,225,53,0,0
